squareMeters,rooms,type,longitude,hasElevator,poiCount,hasSecurity,hasParkingSpace,buildYear,centreDistance,city_encoded
57.46,2.0,1.0,19.42938,0.0,14.0,0,0,1953.0,1.77,413154.8083261058
146.0,5.0,2.0,20.9941733,0.0,30.0,0,0,1947.0,3.29,923794.7879754602
57.2,4.0,1.0,21.05051875,1.0,12.0,0,0,1970.0,4.53,923794.7879754602
42.4,2.0,0.0,20.963033,1.0,10.0,0,1,2013.0,4.75,923794.7879754602
149.0,6.0,3.0,20.9912031,1.0,87.0,0,1,1998.0,0.86,923794.7879754602
37.0,2.0,1.0,21.0117233,1.0,11.0,0,0,1990.0,6.55,923794.7879754602
30.52,1.0,1.0,16.9571,1.0,6.0,0,1,2023.0,4.86,568970.2777777778
75.7,4.0,1.0,14.6648816,0.0,7.0,0,1,2008.0,9.28,500654.9549763033
48.0,2.0,1.0,19.8728125,1.0,4.0,0,1,2016.0,5.63,747427.8625277162
55.0,3.0,1.0,19.49072,0.0,15.0,0,0,1970.0,6.14,413154.8083261058
73.0,3.0,1.0,19.4406,0.0,13.0,0,1,,4.51,413154.8083261058
75.0,3.0,0.0,19.9449799,0.0,94.0,0,0,,1.14,747427.8625277162
63.02,3.0,3.0,18.60611,1.0,17.0,0,0,2013.0,6.37,737720.9866291344
63.5,3.0,1.0,19.804046,0.0,0.0,0,0,1950.0,9.73,747427.8625277162
58.23,3.0,1.0,19.91047935,0.0,29.0,0,0,1960.0,2.71,747427.8625277162
91.0,3.0,1.0,22.5160914,0.0,19.0,0,0,,3.64,491590.74011299433
60.0,3.0,0.0,18.00303,0.0,84.0,0,0,,0.29,411446.35302390996
31.0,1.0,1.0,21.05039969,1.0,12.0,0,0,1975.0,6.9,923794.7879754602
67.2,3.0,1.0,21.03660456,0.0,3.0,0,1,2009.0,14.42,923794.7879754602
39.69,2.0,3.0,20.98827122,1.0,12.0,0,1,2019.0,8.33,923794.7879754602
70.55,3.0,3.0,19.927704,1.0,25.0,0,1,2018.0,0.85,747427.8625277162
32.36,1.0,2.0,21.02406,0.0,16.0,0,0,1938.0,4.81,923794.7879754602
62.9,3.0,1.0,22.53879,0.0,7.0,0,0,1997.0,2.27,491590.74011299433
52.8,3.0,1.0,16.9232,0.0,11.0,0,0,,2.94,568970.2777777778
64.85,4.0,3.0,20.9938606,1.0,15.0,0,0,2013.0,5.81,923794.7879754602
76.0,4.0,0.0,16.8650804,0.0,8.0,0,0,1980.0,5.46,568970.2777777778
72.5,3.0,1.0,20.9656301,1.0,41.0,0,0,1952.0,2.59,923794.7879754602
74.3,4.0,1.0,21.0578355,0.0,24.0,0,0,1987.0,11.13,923794.7879754602
59.1,3.0,0.0,18.5947211,1.0,31.0,1,0,2006.0,7.66,737720.9866291344
65.0,3.0,0.0,20.8837885,1.0,11.0,1,1,2007.0,9.12,923794.7879754602
38.0,2.0,1.0,18.59728,1.0,28.0,0,0,1970.0,7.51,737720.9866291344
83.56,3.0,0.0,18.9847873,0.0,4.0,0,0,2021.0,4.34,442685.6430594901
28.0,1.0,3.0,17.1566948,0.0,0.0,0,1,2023.0,9.01,663522.8989361703
72.0,3.0,1.0,19.9918617,0.0,11.0,0,0,1995.0,5.7,747427.8625277162
63.0,3.0,0.0,17.045298,1.0,10.0,0,1,2013.0,2.41,663522.8989361703
52.0,2.0,1.0,21.12244,1.0,6.0,1,0,2012.0,8.16,923794.7879754602
48.35,3.0,1.0,18.54225,0.0,0.0,0,0,1978.0,3.32,657043.248427673
50.94,3.0,1.0,18.61409,1.0,1.0,0,0,2023.0,6.03,737720.9866291344
55.42,2.0,0.0,20.97613,0.0,21.0,0,0,2004.0,4.11,923794.7879754602
84.31,3.0,2.0,21.1576707,0.0,68.0,0,0,1930.0,1.07,331119.6569037657
73.0,4.0,0.0,22.5970458,0.0,2.0,0,0,1990.0,2.57,491590.74011299433
80.0,3.0,2.0,17.0273133,1.0,50.0,0,0,1930.0,1.0,663522.8989361703
57.71,3.0,3.0,17.0589264,1.0,15.0,0,0,2014.0,3.32,663522.8989361703
100.54,4.0,2.0,19.4578512,0.0,59.0,0,0,1890.0,2.14,413154.8083261058
38.0,2.0,0.0,18.59968,0.0,26.0,0,0,1972.0,7.53,737720.9866291344
44.65,2.0,3.0,19.951878,1.0,35.0,0,0,1936.0,1.65,747427.8625277162
37.0,2.0,1.0,19.98020411,0.0,17.0,0,0,1970.0,4.92,747427.8625277162
54.11,3.0,1.0,22.00139932,0.0,1.0,0,0,2019.0,3.43,503505.2635135135
71.6,4.0,3.0,18.66289,1.0,25.0,1,0,2021.0,0.86,737720.9866291344
46.74,3.0,3.0,20.93387,1.0,20.0,1,0,2017.0,4.9,923794.7879754602
38.2,2.0,1.0,16.9575458,0.0,27.0,0,0,2002.0,5.05,663522.8989361703
45.0,2.0,1.0,19.37131,0.0,18.0,0,0,1975.0,6.0,413154.8083261058
28.52,1.0,3.0,17.04614,1.0,32.0,0,1,2022.0,1.31,663522.8989361703
58.71,3.0,1.0,23.1750764,1.0,25.0,0,1,2014.0,2.1,445351.94527363183
55.0,3.0,1.0,21.061565189231,0.0,20.0,0,0,,6.15,923794.7879754602
59.9,3.0,1.0,21.11075,1.0,13.0,0,0,1978.0,7.35,923794.7879754602
25.0,1.0,0.0,20.9821169,1.0,30.0,0,0,2023.0,1.76,923794.7879754602
29.8,1.0,1.0,19.909329,1.0,25.0,0,0,1980.0,2.78,747427.8625277162
55.5,3.0,1.0,20.0253269,0.0,19.0,0,0,1970.0,7.19,747427.8625277162
120.78,4.0,2.0,16.8987381,0.0,20.0,0,1,1910.0,2.54,568970.2777777778
39.2,2.0,1.0,23.18458557,0.0,30.0,0,0,1982.0,2.63,445351.94527363183
36.77,2.0,1.0,20.0212,0.0,24.0,0,0,1980.0,6.94,747427.8625277162
44.71,3.0,0.0,20.03700256,1.0,28.0,0,0,1965.0,7.34,747427.8625277162
60.0,3.0,1.0,19.96747265,0.0,12.0,0,0,1985.0,5.45,747427.8625277162
45.16,2.0,3.0,14.5932507,0.0,7.0,0,0,2022.0,5.14,500654.9549763033
60.0,3.0,0.0,20.95597,0.0,13.0,0,0,1989.0,9.93,923794.7879754602
46.7,2.0,1.0,21.9819,0.0,17.0,0,0,1985.0,2.97,503505.2635135135
87.0,5.0,1.0,21.096061,0.0,15.0,0,0,1996.0,6.3,923794.7879754602
35.5,2.0,2.0,19.0238,0.0,24.0,1,0,,0.69,442685.6430594901
43.58,2.0,0.0,18.4833032,0.0,3.0,0,0,2001.0,6.97,657043.248427673
43.5,2.0,0.0,20.99816,0.0,44.0,0,0,1952.0,2.25,923794.7879754602
105.5,4.0,1.0,20.9467718,1.0,2.0,0,1,1999.0,5.01,923794.7879754602
62.0,3.0,1.0,22.5865465,1.0,14.0,0,0,1975.0,1.77,491590.74011299433
47.12,2.0,3.0,17.1226163,1.0,19.0,0,1,2009.0,7.44,663522.8989361703
58.0,3.0,0.0,18.61684,0.0,9.0,0,0,1926.0,4.88,737720.9866291344
36.0,2.0,1.0,20.93286,1.0,0.0,0,0,2023.0,6.48,923794.7879754602
110.0,4.0,0.0,17.990016,0.0,15.0,0,0,1908.0,1.03,411446.35302390996
94.13,4.0,1.0,17.0813,0.0,2.0,0,0,1929.0,3.61,663522.8989361703
62.0,3.0,0.0,21.047995,1.0,12.0,0,1,2021.0,6.73,923794.7879754602
48.25,3.0,3.0,20.95733,1.0,16.0,0,1,2009.0,3.15,923794.7879754602
53.68,2.0,3.0,20.9308,1.0,11.0,1,0,,5.66,923794.7879754602
43.19,3.0,1.0,20.0286689,0.0,18.0,0,1,1970.0,7.24,747427.8625277162
62.9,4.0,1.0,18.05339,0.0,14.0,0,0,1980.0,3.7,411446.35302390996
42.71,2.0,0.0,18.9713233,1.0,0.0,0,0,,5.77,442685.6430594901
67.0,3.0,1.0,18.52461,1.0,6.0,1,0,2016.0,8.78,737720.9866291344
84.0,3.0,3.0,20.9933099,1.0,25.0,0,1,2012.0,4.86,923794.7879754602
41.45,2.0,0.0,22.55978,0.0,91.0,0,0,,0.57,491590.74011299433
39.0,2.0,1.0,20.02309799,1.0,26.0,0,0,,6.92,747427.8625277162
63.0,2.0,3.0,17.0338,1.0,1.0,0,1,2018.0,6.01,663522.8989361703
62.0,2.0,2.0,18.0079,0.0,54.0,0,0,,0.65,411446.35302390996
59.4,3.0,1.0,14.655164,1.0,23.0,0,0,1985.0,7.91,500654.9549763033
54.6,2.0,3.0,19.87558,1.0,5.0,1,0,2017.0,4.72,747427.8625277162
39.0,2.0,1.0,20.9488609,1.0,22.0,0,0,2007.0,11.71,923794.7879754602
63.1,3.0,1.0,18.6030886,0.0,14.0,0,0,1984.0,5.48,737720.9866291344
86.33,4.0,0.0,20.95856,1.0,3.0,0,0,2022.0,3.29,923794.7879754602
41.3,2.0,2.0,21.1595,0.0,4.0,1,1,1937.0,10.91,923794.7879754602
71.0,4.0,2.0,19.0247,0.0,97.0,0,1,1970.0,0.39,442685.6430594901
56.5,2.0,0.0,21.0588139,0.0,11.0,0,0,2007.0,10.5,923794.7879754602
49.0,2.0,1.0,17.0368205,1.0,2.0,0,0,2021.0,5.17,663522.8989361703
42.9,2.0,3.0,19.973187,1.0,8.0,0,0,2022.0,2.74,747427.8625277162
54.86,3.0,1.0,22.5309816,0.0,18.0,0,0,1965.0,2.67,491590.74011299433
47.46,2.0,1.0,19.966316,1.0,3.0,0,0,2022.0,2.87,747427.8625277162
57.0,2.0,0.0,19.4453,0.0,20.0,0,0,1970.0,0.86,413154.8083261058
71.85,4.0,1.0,18.00615,1.0,6.0,0,0,2022.0,1.8,411446.35302390996
54.0,3.0,0.0,18.018611,0.0,7.0,0,1,2014.0,1.44,411446.35302390996
49.18,2.0,3.0,21.08156,1.0,17.0,0,0,2017.0,9.65,923794.7879754602
44.0,3.0,0.0,19.8834187,0.0,15.0,0,0,2016.0,5.05,747427.8625277162
69.2,3.0,1.0,21.03993,0.0,10.0,1,0,1993.0,4.49,923794.7879754602
56.7,2.0,3.0,20.93703,1.0,27.0,1,0,2013.0,4.63,923794.7879754602
76.8,4.0,1.0,20.918548,0.0,14.0,0,0,1985.0,6.56,923794.7879754602
38.48,2.0,1.0,19.4537,0.0,6.0,0,0,1962.0,4.69,413154.8083261058
78.46,4.0,1.0,20.92992591,0.0,2.0,0,0,2000.0,9.42,923794.7879754602
48.1,3.0,1.0,22.54637,0.0,26.0,0,0,1977.0,2.09,491590.74011299433
29.0,1.0,1.0,14.55238,1.0,15.0,0,0,1981.0,2.52,500654.9549763033
66.0,2.0,2.0,18.64112,0.0,19.0,0,0,1910.0,0.91,737720.9866291344
42.9,2.0,1.0,20.9386074,1.0,9.0,0,1,1999.0,12.65,923794.7879754602
96.97,4.0,1.0,21.23906,1.0,15.0,0,0,,16.13,923794.7879754602
41.1,2.0,1.0,21.1541994,0.0,14.0,0,0,1960.0,1.26,331119.6569037657
43.0,2.0,0.0,18.6463982,1.0,12.0,0,1,2022.0,5.3,737720.9866291344
33.0,1.0,1.0,20.9783159,1.0,18.0,0,0,1981.0,5.85,923794.7879754602
34.67,2.0,2.0,19.949118,1.0,43.0,0,1,1907.0,0.95,747427.8625277162
93.15,5.0,3.0,20.9927867,1.0,53.0,0,0,1991.0,0.83,923794.7879754602
43.07,2.0,0.0,19.059315796716,1.0,4.0,0,1,2021.0,2.83,442685.6430594901
65.0,2.0,0.0,20.9113297,1.0,15.0,0,0,2000.0,6.36,923794.7879754602
69.0,3.0,0.0,22.5279317,1.0,3.0,0,0,2018.0,3.58,491590.74011299433
49.15,2.0,1.0,21.9904,0.0,35.0,0,1,1956.0,1.67,503505.2635135135
62.0,3.0,3.0,21.080622,1.0,8.0,0,1,2016.0,10.01,923794.7879754602
67.0,3.0,1.0,21.9540564,1.0,13.0,0,0,,3.71,503505.2635135135
36.9,2.0,1.0,19.9164599,1.0,18.0,0,0,,3.7,747427.8625277162
52.4,2.0,0.0,21.080622,0.0,8.0,0,0,,10.01,923794.7879754602
55.3,2.0,1.0,18.0257721,0.0,17.0,0,0,,2.59,411446.35302390996
80.2,4.0,2.0,14.5113939,0.0,6.0,0,1,1925.0,3.85,500654.9549763033
126.63,4.0,0.0,21.05703,0.0,18.0,0,0,2023.0,12.07,923794.7879754602
36.5,2.0,1.0,19.4955,0.0,17.0,0,0,,5.3,413154.8083261058
34.0,2.0,0.0,19.9712,0.0,20.0,0,0,,3.87,747427.8625277162
42.6,2.0,2.0,17.04992,0.0,11.0,0,0,1930.0,2.97,663522.8989361703
98.26,4.0,2.0,14.5278792,0.0,12.0,0,0,1940.0,2.87,500654.9549763033
65.0,3.0,1.0,19.46499,1.0,34.0,0,0,1970.0,2.61,413154.8083261058
28.0,1.0,2.0,18.6225,1.0,6.0,1,0,,5.18,737720.9866291344
34.73,2.0,3.0,19.99853325,1.0,7.0,0,0,2018.0,6.05,747427.8625277162
43.61,2.0,0.0,19.4436,1.0,15.0,0,0,1975.0,1.22,413154.8083261058
45.0,3.0,1.0,19.99399,1.0,5.0,0,0,2022.0,4.17,747427.8625277162
51.0,2.0,0.0,19.9449799,0.0,94.0,0,0,,1.14,747427.8625277162
58.15,2.0,0.0,18.5393982,1.0,64.0,0,1,,0.04,657043.248427673
41.15,3.0,2.0,19.938,1.0,85.0,0,1,1890.0,1.36,747427.8625277162
92.51,4.0,3.0,16.94500872,1.0,9.0,0,1,2017.0,6.16,663522.8989361703
81.0,3.0,2.0,17.0109,0.0,13.0,0,0,1907.0,3.66,663522.8989361703
55.5,3.0,1.0,18.963,0.0,7.0,0,0,1980.0,5.17,442685.6430594901
58.0,2.0,3.0,19.93,1.0,25.0,0,0,2010.0,2.27,747427.8625277162
62.9,3.0,1.0,23.1081,1.0,14.0,0,0,1982.0,2.92,445351.94527363183
64.0,3.0,3.0,21.0814,0.0,0.0,1,0,2010.0,10.26,923794.7879754602
105.9,5.0,0.0,21.145839,0.0,0.0,0,1,2014.0,10.29,923794.7879754602
67.0,3.0,3.0,21.1782251,0.0,0.0,0,1,2023.0,12.54,923794.7879754602
40.05,2.0,1.0,16.95706,0.0,26.0,0,0,1937.0,5.1,663522.8989361703
60.14,3.0,1.0,23.1187139,0.0,13.0,0,0,1989.0,2.21,445351.94527363183
35.8,2.0,0.0,21.15582942,0.0,11.0,0,0,1975.0,1.55,331119.6569037657
28.0,1.0,1.0,20.01648062,1.0,7.0,0,0,1980.0,6.75,747427.8625277162
56.76,2.0,3.0,21.0266,1.0,19.0,0,1,2022.0,8.83,923794.7879754602
51.0,2.0,2.0,19.4727,0.0,24.0,1,1,,1.48,413154.8083261058
58.5,3.0,0.0,18.5983759,1.0,1.0,0,1,2003.0,4.01,737720.9866291344
51.8,2.0,1.0,20.86273303,1.0,10.0,0,1,2004.0,10.37,923794.7879754602
40.49,2.0,1.0,19.9282,1.0,1.0,0,0,2023.0,5.12,747427.8625277162
35.0,2.0,1.0,22.5335,1.0,10.0,0,0,1978.0,2.66,491590.74011299433
66.0,3.0,1.0,16.9604,1.0,19.0,0,1,2023.0,2.29,568970.2777777778
36.0,2.0,0.0,18.54485,0.0,56.0,0,0,1950.0,0.35,657043.248427673
108.5,4.0,2.0,21.0566383,0.0,50.0,0,0,1939.0,3.65,923794.7879754602
55.84,2.0,0.0,22.57442,0.0,23.0,0,0,1970.0,0.78,491590.74011299433
45.0,2.0,1.0,23.16332102,0.0,42.0,0,0,1960.0,1.26,445351.94527363183
43.19,2.0,3.0,20.96682445,1.0,30.0,0,0,2022.0,3.83,923794.7879754602
64.3,3.0,1.0,19.9636832,0.0,16.0,0,1,1988.0,5.76,747427.8625277162
27.0,1.0,1.0,18.575796,0.0,28.0,0,0,,7.7,737720.9866291344
52.2,3.0,2.0,20.9692474,0.0,22.0,0,0,1950.0,3.01,923794.7879754602
50.31,2.0,1.0,19.05569,1.0,4.0,0,0,1985.0,3.14,442685.6430594901
48.2,3.0,1.0,20.86458528,0.0,8.0,0,0,1979.0,10.43,923794.7879754602
55.7,3.0,0.0,18.56823935,0.0,7.0,0,1,2010.0,5.71,737720.9866291344
63.14,3.0,1.0,18.5163,0.0,4.0,1,1,2002.0,2.66,657043.248427673
42.0,2.0,0.0,20.98418,0.0,7.0,0,0,1965.0,3.01,923794.7879754602
46.4,2.0,1.0,21.1017,0.0,33.0,0,0,1998.0,6.73,923794.7879754602
125.0,5.0,1.0,20.009537,0.0,14.0,0,1,2000.0,7.1,747427.8625277162
59.4,2.0,0.0,21.08029,0.0,51.0,0,0,1938.0,5.41,923794.7879754602
58.59,3.0,3.0,19.9779527,1.0,13.0,0,1,2022.0,2.87,747427.8625277162
39.5,2.0,0.0,20.99028,0.0,47.0,0,0,1966.0,1.0,923794.7879754602
58.0,2.0,1.0,21.0563,1.0,11.0,0,0,2009.0,8.05,923794.7879754602
62.3,3.0,1.0,19.5526712,0.0,4.0,0,1,1985.0,7.16,413154.8083261058
74.0,4.0,1.0,19.48218,1.0,22.0,0,0,1986.0,2.71,413154.8083261058
95.6,5.0,2.0,16.9215,0.0,33.0,0,0,1911.0,1.79,568970.2777777778
51.5,2.0,2.0,19.930246,0.0,119.0,0,0,1911.0,1.0,747427.8625277162
49.2,2.0,0.0,18.02846,0.0,21.0,0,0,,1.9,411446.35302390996
57.0,3.0,1.0,19.9268365,1.0,16.0,0,0,1978.0,4.44,747427.8625277162
37.0,2.0,2.0,19.4733187,0.0,22.0,0,0,,1.51,413154.8083261058
38.1,2.0,0.0,21.1592,0.0,49.0,0,0,1980.0,1.22,331119.6569037657
78.0,4.0,0.0,21.0291229,1.0,3.0,0,0,2020.0,10.58,923794.7879754602
100.0,3.0,2.0,19.47119,0.0,11.0,0,0,1900.0,4.04,413154.8083261058
59.32,3.0,1.0,21.1671196,0.0,9.0,0,1,1985.0,2.99,331119.6569037657
106.5,5.0,3.0,21.03375491,1.0,4.0,0,1,1997.0,6.34,923794.7879754602
53.47,3.0,0.0,20.00939,0.0,12.0,0,0,,6.97,747427.8625277162
61.74,3.0,3.0,22.58489772,1.0,16.0,0,1,2018.0,1.82,491590.74011299433
54.0,2.0,3.0,18.66282,1.0,66.0,0,0,2021.0,0.56,737720.9866291344
25.9,1.0,1.0,20.96240234,0.0,6.0,0,0,1965.0,6.35,923794.7879754602
93.14,4.0,1.0,14.5769,0.0,6.0,0,1,2013.0,5.01,500654.9549763033
121.0,5.0,0.0,21.06419,0.0,3.0,0,1,2017.0,7.04,923794.7879754602
37.8,2.0,1.0,20.04486,0.0,26.0,0,0,1955.0,7.83,747427.8625277162
106.07,5.0,2.0,19.46099067,0.0,63.0,0,0,1912.0,1.7,413154.8083261058
54.0,2.0,2.0,19.9335,0.0,6.0,0,0,1930.0,4.84,747427.8625277162
56.2,3.0,0.0,21.00539,0.0,24.0,0,0,1969.0,6.55,923794.7879754602
61.57,2.0,2.0,19.949965,0.0,52.0,0,0,1896.0,1.34,747427.8625277162
59.6,4.0,0.0,17.0627448,1.0,35.0,0,1,1990.0,2.31,663522.8989361703
73.2,3.0,1.0,20.95825481,0.0,13.0,0,0,2003.0,11.45,923794.7879754602
57.0,2.0,1.0,14.6906469,0.0,0.0,0,0,1970.0,9.4,500654.9549763033
41.78,2.0,0.0,18.5374331,1.0,71.0,0,1,2022.0,0.2,657043.248427673
77.0,3.0,3.0,20.97168,1.0,35.0,1,0,2019.0,3.76,923794.7879754602
49.1,2.0,1.0,20.0327687,0.0,30.0,0,1,1956.0,7.12,747427.8625277162
72.54,4.0,2.0,19.4487,0.0,32.0,0,0,1905.0,1.13,413154.8083261058
58.0,3.0,1.0,20.92645,1.0,3.0,0,0,2008.0,8.65,923794.7879754602
27.0,1.0,2.0,19.9509326,0.0,41.0,0,1,1937.0,1.45,747427.8625277162
27.0,2.0,1.0,18.62673,0.0,5.0,0,0,1976.0,6.44,737720.9866291344
72.0,3.0,1.0,19.99186,1.0,11.0,0,0,,5.7,747427.8625277162
57.6,3.0,1.0,21.0348,1.0,8.0,0,1,1978.0,7.13,923794.7879754602
52.0,3.0,1.0,19.975907,0.0,16.0,0,0,1978.0,4.67,747427.8625277162
50.0,2.0,3.0,18.4683348416201,1.0,0.0,0,1,2019.0,4.97,657043.248427673
56.13,2.0,2.0,18.60972,0.0,54.0,0,0,1960.0,4.28,737720.9866291344
37.0,2.0,1.0,19.3949944,1.0,3.0,0,1,,4.68,413154.8083261058
82.23,4.0,2.0,18.63616,0.0,4.0,0,0,1920.0,2.29,737720.9866291344
58.0,2.0,0.0,16.940049,0.0,5.0,0,1,,7.85,663522.8989361703
53.0,3.0,0.0,19.1269836,1.0,2.0,0,0,1975.0,3.06,312877.4539007092
31.98,1.0,1.0,19.968269,1.0,13.0,0,1,2023.0,2.39,747427.8625277162
90.31,3.0,2.0,17.0337,0.0,22.0,0,0,1911.0,1.56,663522.8989361703
37.0,2.0,1.0,19.91676664,0.0,10.0,0,0,1980.0,3.94,747427.8625277162
58.85,3.0,1.0,20.053182,0.0,6.0,0,1,2022.0,9.02,747427.8625277162
60.3,3.0,1.0,18.60951,0.0,8.0,0,0,1984.0,3.14,737720.9866291344
104.26,4.0,2.0,14.536018,0.0,46.0,0,0,1902.0,1.86,500654.9549763033
73.23,3.0,1.0,17.99044447,1.0,9.0,0,0,2023.0,1.13,411446.35302390996
46.1,2.0,1.0,20.9876,1.0,30.0,1,0,,1.9,923794.7879754602
77.14,3.0,3.0,20.88066,1.0,11.0,1,0,,8.86,923794.7879754602
73.0,4.0,1.0,20.96617,1.0,17.0,0,0,1974.0,4.06,923794.7879754602
39.0,2.0,1.0,20.0305437,1.0,15.0,0,0,1970.0,7.46,747427.8625277162
62.0,3.0,1.0,21.10922,1.0,18.0,0,1,1978.0,7.25,923794.7879754602
42.0,2.0,3.0,21.08532,0.0,2.0,1,1,2002.0,8.41,923794.7879754602
79.59,3.0,1.0,14.503333,0.0,5.0,0,0,2017.0,4.38,500654.9549763033
44.2,2.0,1.0,18.58773,0.0,0.0,0,0,,6.4,737720.9866291344
68.84,3.0,1.0,22.55707436,0.0,24.0,1,1,1960.0,1.01,491590.74011299433
54.0,2.0,1.0,20.0095641,0.0,12.0,0,1,1990.0,7.17,747427.8625277162
47.87,2.0,3.0,21.04618777,1.0,10.0,1,0,2017.0,4.64,923794.7879754602
55.0,2.0,0.0,18.44039,0.0,0.0,0,0,2000.0,6.79,657043.248427673
70.0,3.0,0.0,22.58109,0.0,9.0,0,1,1968.0,1.98,491590.74011299433
62.0,3.0,1.0,16.9049448,0.0,5.0,0,0,2002.0,3.26,568970.2777777778
45.0,2.0,1.0,18.63904,0.0,8.0,0,0,1974.0,6.12,737720.9866291344
58.0,3.0,0.0,22.49878,1.0,14.0,0,0,2016.0,5.46,491590.74011299433
29.0,1.0,0.0,21.0079867,0.0,82.0,0,0,1950.0,0.4,923794.7879754602
61.0,3.0,0.0,18.6456,1.0,45.0,0,1,2022.0,0.85,737720.9866291344
46.5,2.0,1.0,21.0473,1.0,45.0,0,1,,3.79,923794.7879754602
65.82,3.0,1.0,22.58569,0.0,5.0,0,0,2008.0,2.2,491590.74011299433
49.09,2.0,1.0,21.1069337,0.0,2.0,0,0,1993.0,3.26,331119.6569037657
42.66,2.0,1.0,19.395169,0.0,4.0,0,0,1980.0,4.65,413154.8083261058
59.51,3.0,1.0,22.5850415,1.0,14.0,0,0,2017.0,1.79,491590.74011299433
68.1,3.0,1.0,19.95024758,0.0,10.0,0,0,1985.0,5.3,747427.8625277162
74.0,4.0,3.0,16.99033,1.0,30.0,0,0,2008.0,3.1,663522.8989361703
49.36,2.0,1.0,16.9659166,1.0,9.0,0,0,,4.48,663522.8989361703
56.5,3.0,0.0,18.9812042,1.0,13.0,0,0,1970.0,3.16,442685.6430594901
51.5,3.0,1.0,20.93007083,1.0,12.0,0,0,1975.0,7.64,923794.7879754602
50.42,3.0,1.0,22.00405,0.0,7.0,0,0,,1.67,503505.2635135135
52.7,2.0,1.0,17.0596,0.0,5.0,1,0,2005.0,6.89,663522.8989361703
64.3,3.0,1.0,16.97196,1.0,8.0,0,0,1990.0,3.86,568970.2777777778
74.36,3.0,3.0,21.0118718,1.0,5.0,0,0,2012.0,7.23,923794.7879754602
46.9,2.0,1.0,19.42536,0.0,13.0,0,0,1960.0,2.12,413154.8083261058
60.0,2.0,2.0,21.02256501,1.0,24.0,0,0,1901.0,2.44,923794.7879754602
36.7,2.0,0.0,21.02332,0.0,54.0,0,0,1995.0,1.69,923794.7879754602
78.43,3.0,3.0,21.00673,1.0,1.0,1,0,2021.0,8.92,923794.7879754602
36.7,2.0,2.0,18.53842,0.0,70.0,0,0,,0.13,657043.248427673
90.28,4.0,1.0,17.9756302,0.0,7.0,0,0,1998.0,1.96,411446.35302390996
40.4,2.0,1.0,18.46307,0.0,0.0,0,0,2003.0,7.81,657043.248427673
78.3,3.0,0.0,18.60448,0.0,8.0,0,0,2011.0,3.26,737720.9866291344
48.0,2.0,1.0,21.0122287,1.0,113.0,0,0,1962.0,0.63,923794.7879754602
43.3,2.0,2.0,19.92803,0.0,76.0,0,0,1915.0,1.19,747427.8625277162
37.0,2.0,1.0,20.98082,0.0,21.0,0,0,,3.75,923794.7879754602
64.0,3.0,1.0,20.95502201,1.0,15.0,0,0,1977.0,3.33,923794.7879754602
53.0,2.0,1.0,19.41954,0.0,8.0,0,0,1980.0,4.86,413154.8083261058
48.6,2.0,1.0,18.05543,0.0,18.0,0,0,1960.0,3.93,411446.35302390996
37.0,2.0,0.0,18.6466384,1.0,90.0,1,0,,0.58,737720.9866291344
63.0,2.0,0.0,20.9113297,1.0,15.0,0,1,2009.0,6.36,923794.7879754602
59.45,4.0,0.0,17.03889,0.0,30.0,0,0,1986.0,2.47,663522.8989361703
53.0,3.0,1.0,19.9065202,1.0,7.0,0,0,2020.0,3.51,747427.8625277162
73.34,3.0,2.0,14.55197168,0.0,57.0,0,1,1950.0,1.24,500654.9549763033
61.0,3.0,1.0,19.9819561,1.0,17.0,0,1,1975.0,3.87,747427.8625277162
68.0,3.0,1.0,19.3226668426079,0.0,3.0,1,1,,9.53,413154.8083261058
45.22,2.0,2.0,14.5453562,0.0,11.0,0,0,,2.95,500654.9549763033
79.0,4.0,1.0,18.5825,0.0,4.0,0,1,2006.0,5.88,737720.9866291344
57.89,3.0,0.0,21.0597,0.0,8.0,0,0,,9.54,923794.7879754602
40.6,2.0,3.0,20.88063,1.0,11.0,1,0,2019.0,8.88,923794.7879754602
31.0,2.0,0.0,18.01088,0.0,16.0,0,0,,1.59,411446.35302390996
66.0,3.0,1.0,22.5559,0.0,41.0,0,0,1972.0,0.95,491590.74011299433
58.0,3.0,0.0,18.6456,1.0,45.0,0,1,2021.0,0.85,737720.9866291344
49.7,2.0,1.0,16.905481,0.0,10.0,0,0,,6.07,568970.2777777778
60.5,3.0,3.0,21.0722081,1.0,28.0,0,1,2021.0,8.8,923794.7879754602
52.0,2.0,1.0,20.89997,1.0,25.0,1,1,2008.0,8.42,923794.7879754602
75.0,4.0,3.0,18.58325,1.0,17.0,0,0,2016.0,7.34,737720.9866291344
124.7,5.0,1.0,18.577,0.0,4.0,0,0,1999.0,5.53,737720.9866291344
72.74,4.0,0.0,21.1632688,0.0,13.0,0,0,1990.0,3.11,331119.6569037657
98.0,4.0,0.0,20.99766,1.0,31.0,0,0,2012.0,6.44,923794.7879754602
44.73,2.0,0.0,20.9882491,0.0,53.0,0,0,1953.0,1.57,923794.7879754602
51.48,3.0,1.0,18.4797,0.0,2.0,0,0,2000.0,6.9,657043.248427673
38.0,2.0,1.0,21.03307628,1.0,19.0,0,0,,2.01,923794.7879754602
39.0,2.0,2.0,21.04,0.0,4.0,0,0,1937.0,4.97,923794.7879754602
78.0,3.0,2.0,16.9137,0.0,27.0,0,1,,1.55,568970.2777777778
