squareMeters,rooms,type,longitude,hasElevator,poiCount,hasSecurity,hasParkingSpace,buildYear,centreDistance,city_encoded
55.61,4.0,1.0,21.9783,0.0,24.0,0,0,1978.0,2.53,503505.2635135135
98.9,5.0,1.0,20.90192,0.0,13.0,0,0,2000.0,6.96,923794.7879754602
33.0,2.0,2.0,18.64815,0.0,54.0,0,0,1956.0,0.75,737720.9866291344
43.42,2.0,2.0,17.9913358,0.0,15.0,0,0,1900.0,0.78,411446.35302390996
64.75,3.0,1.0,20.04533,0.0,21.0,0,0,,7.89,747427.8625277162
55.0,2.0,1.0,19.0385708,0.0,0.0,0,0,1970.0,6.84,442685.6430594901
54.5,2.0,0.0,17.0418116,1.0,33.0,1,1,2019.0,1.38,663522.8989361703
35.47,2.0,1.0,21.04577,1.0,8.0,0,0,1962.0,3.53,923794.7879754602
48.0,2.0,3.0,16.9874414,1.0,16.0,0,1,2010.0,3.4,663522.8989361703
28.3,1.0,3.0,16.9658,1.0,12.0,0,0,,2.61,568970.2777777778
33.14,1.0,1.0,21.1344918,0.0,6.0,0,0,1990.0,3.36,331119.6569037657
33.1,1.0,1.0,16.8814,0.0,21.0,0,0,1965.0,3.79,568970.2777777778
54.0,2.0,3.0,20.95509,1.0,14.0,0,0,2022.0,3.34,923794.7879754602
38.85,2.0,1.0,19.4290999,1.0,2.0,0,0,1970.0,2.72,413154.8083261058
60.96,3.0,3.0,20.8805946,0.0,11.0,0,1,2023.0,8.91,923794.7879754602
70.0,3.0,0.0,22.5555702,0.0,18.0,0,0,1960.0,1.21,491590.74011299433
100.2,4.0,0.0,21.0291229,0.0,3.0,0,1,2000.0,10.58,923794.7879754602
120.0,4.0,1.0,20.9774,0.0,17.0,0,0,,2.31,923794.7879754602
86.0,3.0,2.0,19.95246,0.0,42.0,0,0,,1.49,747427.8625277162
42.43,2.0,1.0,19.46075,0.0,10.0,0,0,1954.0,2.17,413154.8083261058
64.8,3.0,0.0,19.02584,0.0,23.0,0,0,,1.11,442685.6430594901
85.5,3.0,2.0,16.9244796,0.0,76.0,0,0,1910.0,0.75,568970.2777777778
61.0,3.0,1.0,20.9596023,0.0,13.0,0,0,1983.0,9.54,923794.7879754602
43.0,2.0,1.0,18.0339,0.0,17.0,0,1,1978.0,2.7,411446.35302390996
33.0,2.0,1.0,19.4753001,1.0,8.0,0,0,,4.52,413154.8083261058
44.27,2.0,0.0,17.0551006,1.0,17.0,0,0,1914.0,2.2,663522.8989361703
80.04,3.0,0.0,20.9147986,1.0,17.0,0,1,2012.0,6.58,923794.7879754602
72.7,3.0,1.0,14.5055732,0.0,9.0,0,1,1930.0,4.32,500654.9549763033
100.0,3.0,1.0,14.4931,0.0,4.0,0,1,2000.0,4.58,500654.9549763033
40.4,2.0,1.0,18.45639,0.0,0.0,0,0,2003.0,8.29,657043.248427673
62.0,3.0,0.0,20.99004,0.0,13.0,0,0,2019.0,6.47,923794.7879754602
58.71,3.0,3.0,19.8922995,1.0,13.0,0,1,2022.0,4.21,747427.8625277162
63.6,3.0,0.0,21.05313,0.0,12.0,0,0,1974.0,6.81,923794.7879754602
52.52,2.0,3.0,21.03636,1.0,22.0,0,0,2012.0,2.25,923794.7879754602
42.42,2.0,1.0,18.0242,0.0,9.0,0,0,,2.27,411446.35302390996
44.5,2.0,2.0,17.0121574,0.0,32.0,0,0,1910.0,1.45,663522.8989361703
47.22,3.0,1.0,19.4931,0.0,16.0,0,0,1970.0,5.1,413154.8083261058
102.0,4.0,0.0,20.9478161,1.0,8.0,1,1,2023.0,6.9,923794.7879754602
43.0,2.0,0.0,16.9795668,1.0,0.0,0,0,2023.0,3.79,568970.2777777778
71.3,3.0,1.0,18.60448,1.0,8.0,0,0,2011.0,3.26,737720.9866291344
67.0,3.0,0.0,20.9814,0.0,36.0,0,0,1934.0,4.17,923794.7879754602
53.31,3.0,1.0,21.01472719,1.0,9.0,0,0,1975.0,6.1,923794.7879754602
30.0,1.0,1.0,18.5966,0.0,31.0,0,0,,7.64,737720.9866291344
50.3,2.0,1.0,20.9435,1.0,11.0,1,1,2003.0,13.34,923794.7879754602
70.84,3.0,1.0,19.8860194,0.0,2.0,0,1,2023.0,3.84,747427.8625277162
65.0,3.0,0.0,21.0695,1.0,22.0,0,0,1981.0,4.77,923794.7879754602
60.8,3.0,1.0,18.64487,1.0,12.0,0,0,2021.0,5.23,737720.9866291344
77.0,3.0,0.0,17.03078,0.0,56.0,0,0,,0.85,663522.8989361703
52.05,3.0,1.0,19.5312669,0.0,27.0,0,1,,5.99,413154.8083261058
32.4,2.0,2.0,18.0079,0.0,54.0,0,0,,0.65,411446.35302390996
49.0,3.0,0.0,20.9712206,1.0,31.0,0,0,1960.0,3.24,923794.7879754602
50.0,2.0,0.0,20.91242,1.0,4.0,0,0,2016.0,7.75,923794.7879754602
39.45,2.0,0.0,20.9502,1.0,4.0,0,0,2020.0,5.23,923794.7879754602
82.0,3.0,1.0,14.6541372,1.0,13.0,0,1,1984.0,7.57,500654.9549763033
52.0,2.0,0.0,17.14546,0.0,2.0,0,0,2001.0,8.09,663522.8989361703
83.7,3.0,2.0,19.9208,0.0,28.0,0,0,1940.0,1.97,747427.8625277162
44.65,2.0,1.0,21.03381919,1.0,29.0,0,0,1968.0,2.12,923794.7879754602
49.72,2.0,1.0,20.8967,1.0,18.0,1,1,2001.0,8.67,923794.7879754602
45.0,2.0,1.0,16.98726,0.0,16.0,0,0,,3.5,663522.8989361703
54.66,3.0,1.0,19.4249,1.0,13.0,0,0,1976.0,2.23,413154.8083261058
36.03,2.0,1.0,17.05466504,1.0,2.0,0,1,2016.0,6.56,663522.8989361703
42.56,2.0,3.0,20.93758,1.0,5.0,1,0,2022.0,5.33,923794.7879754602
34.5,2.0,1.0,18.58403,1.0,22.0,0,0,1980.0,9.21,737720.9866291344
33.66,2.0,3.0,16.8644187,1.0,1.0,0,1,2019.0,6.48,568970.2777777778
47.34,2.0,0.0,19.9711531,0.0,18.0,0,0,,4.13,747427.8625277162
88.0,4.0,3.0,21.0717183,1.0,24.0,0,1,2018.0,9.13,923794.7879754602
37.0,3.0,2.0,19.943523,1.0,144.0,0,1,1930.0,0.37,747427.8625277162
37.0,2.0,1.0,19.4959,0.0,15.0,0,0,1978.0,5.14,413154.8083261058
55.0,3.0,1.0,21.0458,1.0,3.0,1,1,2022.0,11.39,923794.7879754602
55.08,2.0,1.0,20.9086,0.0,19.0,0,0,1980.0,6.51,923794.7879754602
42.88,2.0,0.0,19.94578,0.0,7.0,0,0,2023.0,3.35,747427.8625277162
48.2,3.0,1.0,21.01189114,1.0,8.0,0,0,1960.0,2.39,923794.7879754602
65.2,3.0,1.0,20.9012,1.0,21.0,0,1,1977.0,6.99,923794.7879754602
55.0,2.0,3.0,16.9950803,1.0,9.0,0,1,2014.0,3.33,663522.8989361703
78.5,3.0,2.0,18.53222,0.0,22.0,0,0,1938.0,0.83,657043.248427673
119.3,4.0,1.0,16.8741,0.0,7.0,0,1,,4.48,568970.2777777778
55.0,3.0,0.0,21.0483014,0.0,34.0,0,0,1980.0,10.01,923794.7879754602
55.0,3.0,0.0,18.60852242,1.0,2.0,0,0,2021.0,5.16,737720.9866291344
75.5,3.0,3.0,17.0212839,0.0,0.0,0,1,2020.0,6.63,663522.8989361703
110.0,4.0,0.0,22.542443,0.0,7.0,0,0,2007.0,2.35,491590.74011299433
51.47,2.0,1.0,18.61989,0.0,6.0,0,0,1989.0,3.35,737720.9866291344
91.0,4.0,0.0,21.03515,1.0,26.0,1,0,,2.18,923794.7879754602
61.3,4.0,1.0,18.5688841,1.0,5.0,1,0,2014.0,5.54,737720.9866291344
35.42,2.0,1.0,19.388603750644,1.0,13.0,1,0,2023.0,4.89,413154.8083261058
62.0,3.0,3.0,20.989168,1.0,17.0,0,0,2020.0,6.14,923794.7879754602
38.3,2.0,1.0,19.418,1.0,18.0,0,0,1970.0,2.7,413154.8083261058
47.0,2.0,1.0,17.0355841,1.0,2.0,0,0,2010.0,3.93,663522.8989361703
61.0,3.0,3.0,18.64901,1.0,2.0,0,0,2023.0,5.82,737720.9866291344
71.65,3.0,3.0,18.60046,1.0,15.0,0,0,2022.0,7.98,737720.9866291344
92.34,4.0,0.0,20.02683347,1.0,12.0,0,0,2021.0,7.54,747427.8625277162
120.0,4.0,1.0,18.59656,0.0,21.0,0,0,1921.0,4.95,737720.9866291344
61.5,3.0,1.0,18.5966,1.0,31.0,1,0,2006.0,7.64,737720.9866291344
53.52,2.0,0.0,21.1798335,1.0,17.0,0,0,1980.0,2.77,331119.6569037657
36.0,2.0,1.0,19.9827058,0.0,12.0,0,0,1970.0,3.82,747427.8625277162
84.12,4.0,1.0,21.05654,0.0,13.0,0,0,1995.0,7.39,923794.7879754602
60.0,4.0,1.0,22.549389,0.0,23.0,0,0,1976.0,1.86,491590.74011299433
63.71,3.0,1.0,21.1776266,0.0,12.0,0,0,1995.0,2.46,331119.6569037657
59.0,3.0,1.0,19.132434,0.0,2.0,0,0,,4.23,312877.4539007092
81.12,4.0,1.0,22.55618,0.0,60.0,0,0,1990.0,0.86,491590.74011299433
48.0,2.0,1.0,14.5224,0.0,9.0,0,1,,3.42,500654.9549763033
46.6,2.0,1.0,14.5710093,1.0,9.0,0,0,1970.0,3.11,500654.9549763033
49.83,2.0,2.0,18.00218,0.0,46.0,0,0,,0.71,411446.35302390996
45.9,3.0,1.0,18.53449,0.0,0.0,0,0,1980.0,3.32,657043.248427673
84.47,4.0,2.0,18.6107326,0.0,12.0,0,0,1900.0,3.73,737720.9866291344
76.39,4.0,1.0,18.0391,1.0,5.0,1,1,2023.0,2.69,411446.35302390996
79.0,3.0,3.0,20.9681459,1.0,32.0,0,1,2019.0,3.75,923794.7879754602
82.0,4.0,0.0,21.0635,0.0,6.0,0,0,,6.92,923794.7879754602
62.9,3.0,0.0,18.57733,0.0,5.0,0,0,1984.0,5.01,737720.9866291344
54.2,2.0,0.0,18.6543,0.0,63.0,0,0,1950.0,0.66,737720.9866291344
65.38,3.0,1.0,19.9576132,0.0,8.0,0,1,2011.0,4.14,747427.8625277162
40.6,2.0,1.0,20.9930528288337,0.0,41.0,0,0,,1.69,923794.7879754602
68.71,3.0,1.0,18.54211,0.0,1.0,1,0,2018.0,7.52,737720.9866291344
112.8,4.0,3.0,20.98773185,1.0,73.0,0,1,1998.0,1.19,923794.7879754602
72.3,3.0,0.0,18.61194,0.0,5.0,0,0,2008.0,3.61,737720.9866291344
62.5,3.0,3.0,20.96519,1.0,14.0,1,0,2014.0,3.09,923794.7879754602
107.5,4.0,2.0,14.5423,0.0,38.0,0,0,1898.0,1.25,500654.9549763033
